# Frequency(cm^-1), Lineshape, Field_description, Quantum_correction, Spectra, Spectra_qm
1.667987274718231827e+00 1.641147722905932937e+01 6.362418087709296495e+07 3.930109654127228125e+13 1.044166795681963205e+09 4.103690004228776080e+22
3.335974549436463654e+00 1.439287544341308767e+01 2.543348182448318005e+08 3.932611495769217969e+13 3.660609359920970440e+09 1.439575445034560662e+23
5.003961824154695925e+00 1.571850194137270407e+01 5.718893632096720934e+08 3.935114398488850781e+13 8.989244065861629486e+09 3.537370375510255437e+23
6.671949098872927308e+00 1.608912520419513825e+01 1.016045678356279373e+09 3.937618362284996094e+13 1.634728613225556183e+10 6.436937404789636905e+23
8.339936373591157803e+00 1.518636613250597911e+01 1.586562037093043089e+09 3.940123387156527344e+13 2.409411198722948456e+10 9.493377413365132993e+23
1.000792364830939185e+01 1.590548916866949369e+01 2.283197122998589039e+09 3.942629473102032031e+13 3.631536710979140472e+10 1.431780366935837523e+24
1.167591092302762235e+01 1.333047217865694023e+01 3.105710029169563293e+09 3.945136620119421875e+13 4.140058113882070160e+10 1.633309487449869975e+24
1.334389819774585462e+01 1.515431076120480824e+01 4.053860257568894386e+09 3.947644828206570312e+13 6.143345812569679260e+10 2.425174732487518396e+24
1.501188547246408511e+01 1.308492676313222525e+01 5.127407718375572205e+09 3.950154097360867188e+13 6.709175447966326141e+10 2.650227688569711719e+24
1.667987274718231561e+01 1.645263755464864275e+01 6.326112729335042000e+09 3.952664427579424219e+13 1.040812398655985413e+11 4.113982143951127804e+24
1.834786002190054788e+01 1.475744631017581909e+01 7.649736015110903740e+09 3.955175818858940625e+13 1.128905685300174866e+11 4.465020468271632735e+24
2.001584729661878370e+01 1.215674532715286560e+01 9.098038706637367249e+09 3.957688271195788281e+13 1.106025395331697083e+11 4.377303734748942738e+24
2.168383457133701242e+01 1.389594153645702512e+01 1.067078234047263908e+10 3.960201784586045312e+13 1.482805675514658508e+11 5.872209682367467345e+24
2.335182184605524469e+01 1.132582845171112496e+01 1.236772885815364647e+10 3.962716359025401562e+13 1.400747753847253113e+11 5.550766039038596049e+24
2.501980912077347341e+01 1.182247324702748514e+01 1.418864060555142021e+10 3.965231994509208594e+13 1.677448239708195190e+11 6.651471429224087763e+24
2.668779639549170923e+01 1.396978139290163767e+01 1.613328033222752571e+10 3.967748691032491406e+13 2.253783993916180420e+11 8.942448491730904910e+24
2.835578367020994150e+01 1.287648188213022848e+01 1.820141119079171371e+10 3.970266448589896875e+13 2.343701414274318848e+11 9.305119090606018226e+24
3.002377094492817022e+01 1.326602796068130630e+01 2.039279673626016235e+10 3.972785267175746094e+13 2.705314116997178040e+11 1.074763206708895190e+25
3.169175821964640605e+01 1.383116511970920293e+01 2.270720092541471481e+10 3.975305146784065625e+13 3.140670454058245239e+11 1.248512342037039120e+25
3.335974549436463121e+01 1.394517103161111926e+01 2.514438811616404343e+10 3.977826087408436719e+13 3.506427927651176758e+11 1.394796048422835286e+25
3.502773276908286704e+01 1.534164483526914324e+01 2.770412306690407944e+10 3.980348089042179688e+13 4.250268165650297241e+11 1.691754677106297160e+25
3.669572004380109576e+01 1.841995349149753380e+01 3.038617093588079071e+10 3.982871151678260156e+13 5.597118554236182861e+11 2.229260202219042357e+25
3.836370731851933158e+01 1.694479185530809318e+01 3.319029728055400467e+10 3.985395275309239062e+13 5.624026790347858887e+11 2.241396979846494211e+25
4.003169459323756740e+01 1.988882707494654056e+01 3.611626805696055603e+10 3.987920459927417188e+13 7.183102099773039551e+11 2.864563982943249491e+25
4.169968186795579612e+01 2.176493442741839601e+01 3.916384961908077240e+10 3.990446705524684375e+13 8.523986188845679932e+11 3.401451260521715462e+25
4.336766914267402484e+01 1.895523270693783857e+01 4.233280871820378113e+10 3.992974012092629688e+13 8.024282403918395996e+11 3.204075110453832731e+25
4.503565641739225356e+01 2.755903942411839935e+01 4.562291250229537201e+10 3.995502379622472656e+13 1.257323644293862305e+12 5.023639612731726342e+25
4.670364369211048938e+01 3.770280893649035647e+01 4.903392851536572266e+10 3.998031808105103906e+13 1.848716838220360107e+12 7.391228723384497192e+25
4.837163096682872521e+01 5.089218943169977649e+01 5.256562469683878326e+10 4.000562297531064844e+13 2.675179729667155273e+12 1.070222316562576735e+26
5.003961824154694682e+01 3.663577898644729203e+01 5.621776938092226410e+10 4.003093847890556250e+13 2.059581774150531982e+12 8.244699129329512009e+25
5.170760551626518264e+01 3.606119562485089602e+01 5.999013129597884369e+10 4.005626459173432031e+13 2.163315860224783203e+12 8.665435249265925316e+25
5.337559279098341847e+01 3.196889465909495343e+01 6.388247956389816284e+10 4.008160131369196094e+13 2.042252259740046387e+12 8.185674085688701737e+25
5.504358006570164719e+01 3.517773644439036218e+01 6.789458369946970367e+10 4.010694864467014844e+13 2.388377771381547363e+12 9.579054462087145521e+25
5.671156734041988301e+01 3.752576444393483257e+01 7.202621360975669861e+10 4.013230658455717969e+13 2.702838725708263184e+12 1.084711523887378683e+26
5.837955461513811173e+01 4.563605615378332914e+01 7.627713959347143555e+10 4.015767513323771094e+13 3.480987825737632324e+12 1.397883782487273249e+26
6.004754188985634045e+01 4.350186900942333068e+01 8.064713234035043335e+10 4.018305429059325000e+13 3.508300987055552734e+12 1.409742490305951700e+26
6.171552916457457627e+01 5.065631050581019679e+01 8.513596293053193665e+10 4.020844405650163281e+13 4.312673773420172363e+12 1.734059021525068035e+26
6.338351643929281209e+01 5.013696303115787600e+01 8.974340283393328857e+10 4.023384443083735938e+13 4.499461670175222656e+12 1.810306408603455604e+26
6.505150371401103371e+01 5.515302458007204223e+01 9.446922390962977600e+10 4.025925541347146094e+13 5.210263428348140625e+12 2.097613261333372494e+26
6.671949098872926243e+01 6.504007238011224956e+01 9.931319840523422241e+10 4.028467700427158594e+13 6.459337612576881836e+12 2.602123293842024254e+26
6.838747826344750536e+01 7.865267134540977167e+01 1.042750989562780914e+11 4.031010920310174219e+13 8.201515087718222656e+12 3.306039688168081278e+26
